provider,entity_id,gvkey,primary_permno,years_covered,first_seen,last_seen
refinitiv,4295533401,180905,92913,3,2011-06-14,2019-08-04
refinitiv,4295641240,20692,14942,8,2014-11-03,2024-12-31
refinitiv,4295856130,165927,91125,6,2006-02-07,2024-12-31
refinitiv,4295856134,178081,92221,9,2009-11-12,2024-12-31
refinitiv,4295857066,253527,90542,8,2008-06-26,2024-12-31
refinitiv,4295857433,100712,23169,3,2022-06-02,2024-12-31
refinitiv,4295859725,30806,93001,9,2009-08-18,2019-01-03
refinitiv,4295860381,16582,75844,14,2002-01-02,2018-01-01
refinitiv,4295860402,27265,91037,11,2005-12-13,2018-09-21
refinitiv,4295860405,24370,83188,21,2004-06-10,2024-07-31
refinitiv,4295860444,165637,92747,6,2008-07-25,2024-12-31
refinitiv,4295860527,13453,78451,8,2017-06-09,2024-12-31
refinitiv,4295860540,122266,92423,8,2007-11-30,2016-01-14
refinitiv,4295860591,2137,29647,21,2004-06-10,2024-12-31
refinitiv,4295860592,15582,89428,22,2002-06-07,2024-12-31
refinitiv,4295860595,2696,84181,22,2002-01-02,2024-12-31
refinitiv,4295860596,15580,81284,22,2002-01-02,2024-12-31
refinitiv,4295860600,15581,85636,22,2002-01-02,2024-12-31
refinitiv,4295860623,6135,76932,22,2002-01-02,2024-12-31
refinitiv,4295860642,13971,77735,21,2004-06-10,2024-12-31
refinitiv,4295860717,140363,90606,7,2005-03-29,2017-05-25
refinitiv,4295860746,20488,79636,14,2004-06-10,2022-01-27
refinitiv,4295860761,15150,82232,6,2002-01-02,2009-07-31
refinitiv,4295860785,22049,86061,1,2004-06-10,2007-03-16
refinitiv,4295860797,141099,24068,2,2023-07-06,2024-12-31
refinitiv,4295860840,145812,14379,11,2014-01-22,2024-12-31
refinitiv,4295860866,29985,90850,18,2005-08-11,2024-12-31
refinitiv,4295860976,61356,82261,9,2016-05-12,2024-12-31
refinitiv,4295861005,28852,92178,6,2007-07-24,2013-06-06
refinitiv,4295861041,29478,23889,2,2023-05-25,2024-12-31
refinitiv,4295861063,143770,14660,3,2019-07-02,2023-04-10
refinitiv,4295861073,2369,85259,21,2004-06-10,2024-12-31
refinitiv,4295861086,107245,91689,15,2007-01-30,2024-12-31
refinitiv,4295861092,13401,75058,3,2004-06-10,2007-12-31
refinitiv,4295861109,1243,24264,4,2002-01-02,2007-11-14
refinitiv,4295861120,7980,58640,5,2002-01-02,2009-01-13
refinitiv,4295861140,20670,81734,21,2004-06-10,2024-12-31
refinitiv,4295861142,26539,89648,21,2004-06-10,2024-12-31
refinitiv,4295861147,5903,33099,22,2002-01-02,2024-12-31
refinitiv,4295861151,63139,89911,18,2004-06-10,2022-12-15
refinitiv,4295861160,15704,89444,21,2004-06-10,2024-12-31
refinitiv,4295861205,162346,10201,10,2010-07-23,2021-03-28
refinitiv,4295861228,29135,91135,16,2006-07-18,2024-12-31
refinitiv,4295861241,133289,87666,20,2005-01-05,2024-12-31
refinitiv,4295861256,106519,89013,7,2004-06-10,2011-01-02
refinitiv,4295861257,10385,91321,19,2006-06-30,2024-12-31
refinitiv,4295861259,21864,86372,21,2004-06-10,2024-12-31
refinitiv,4295861309,6946,78045,21,2004-06-10,2024-12-31
refinitiv,4295861310,15070,80070,22,2002-01-02,2024-12-31
refinitiv,4295861343,2698,89125,22,2002-01-02,2024-12-31
refinitiv,4295861362,14316,85635,11,2002-01-02,2015-05-07
refinitiv,4295861372,2697,30277,8,2004-06-10,2013-02-25
refinitiv,4295861444,7984,49955,3,2004-06-10,2011-10-25
refinitiv,4295861456,8009,86303,5,2004-06-10,2009-07-06
refinitiv,4295861508,14330,20558,4,2021-02-01,2024-12-31
refinitiv,4295861613,20214,88818,20,2004-06-10,2024-05-30
refinitiv,4295861621,144990,89689,4,2004-06-10,2008-10-27
refinitiv,4295861707,62072,87832,8,2012-05-02,2024-12-31
refinitiv,4295861718,150764,19226,5,2020-02-13,2024-12-31
refinitiv,4295861720,106203,90118,7,2012-04-10,2024-12-31
refinitiv,4295861739,112881,19074,3,2019-11-18,2023-01-31
refinitiv,4295861766,65986,86745,20,2004-06-10,2024-12-31
refinitiv,4295861769,2408,13786,20,2004-06-10,2024-07-31
refinitiv,4295861779,112158,86115,21,2004-06-10,2024-12-31
refinitiv,4295861818,14390,16341,9,2016-10-14,2024-12-31
refinitiv,4295861819,14049,90380,2,2006-07-27,2010-08-27
refinitiv,4295861836,14102,87841,9,2004-06-10,2014-08-06
refinitiv,4295861873,28485,81208,17,2006-06-30,2024-12-31
refinitiv,4295861875,19997,89903,4,2004-06-10,2013-05-31
refinitiv,4295861879,13400,78236,5,2019-09-09,2024-12-31
refinitiv,4295861969,23504,78741,3,2004-06-10,2012-09-14
refinitiv,4295861978,28378,86408,10,2011-06-13,2024-12-31
refinitiv,4295861982,25750,77569,6,2014-10-23,2024-12-31
refinitiv,4295861984,25289,16043,7,2016-05-09,2024-08-07
refinitiv,4295861992,64779,89652,3,2004-06-10,2012-03-30
refinitiv,4295862002,6930,79853,5,2004-06-10,2015-04-15
refinitiv,4295862020,106486,91306,2,2020-08-26,2023-11-06
refinitiv,4295862027,65605,85925,21,2004-06-10,2024-12-31
refinitiv,4295862048,26768,83909,17,2004-06-10,2024-12-31
refinitiv,4295862051,12761,78418,6,2006-05-25,2024-12-31
refinitiv,4295862057,25092,77570,17,2004-10-04,2024-12-31
refinitiv,4295862069,14010,77729,12,2008-01-18,2022-10-13
refinitiv,4295862083,63673,91043,4,2005-12-07,2010-06-24
refinitiv,4295862090,26914,90695,17,2006-03-08,2024-12-31
refinitiv,4295862095,123415,88211,4,2004-06-10,2010-08-04
refinitiv,4295862174,14353,86218,19,2004-06-10,2023-04-03
refinitiv,4295862177,16428,89627,6,2004-06-10,2009-12-09
refinitiv,4295862326,134305,92181,10,2007-07-10,2024-12-31
refinitiv,4295862380,120334,88266,8,2006-06-30,2023-01-12
refinitiv,4295862405,31616,91367,7,2007-08-01,2015-07-23
refinitiv,4295862442,160779,20913,4,2021-04-15,2024-12-31
refinitiv,4295862460,108768,12447,15,2010-12-15,2024-12-31
refinitiv,4295862466,166366,91151,8,2006-05-25,2014-02-19
refinitiv,4295862495,28080,90527,9,2006-06-30,2019-03-07
refinitiv,4295862512,20600,89965,17,2004-06-10,2024-12-31
refinitiv,4295862538,64879,88537,5,2004-06-10,2014-08-17
refinitiv,4295862576,178015,92203,14,2007-07-30,2024-12-31
refinitiv,4295862596,108831,92776,15,2008-08-18,2024-12-31
refinitiv,4295862609,65654,89605,3,2004-06-10,2008-01-16
refinitiv,4295862611,107637,90443,15,2004-11-04,2024-12-31
refinitiv,4295862622,107712,14336,7,2013-12-04,2024-12-31
refinitiv,4295862681,65808,90343,9,2004-09-08,2016-01-11
refinitiv,4295862702,151772,90784,5,2005-07-22,2009-12-22
refinitiv,4295862758,124042,87212,22,2002-01-02,2024-12-31
refinitiv,4295862776,176760,91854,15,2007-03-07,2021-11-29
refinitiv,4295862792,148130,90339,8,2006-06-30,2017-02-22
refinitiv,4295862810,144183,92536,9,2013-03-01,2024-12-31
refinitiv,4295862881,143909,90430,8,2017-09-13,2024-12-31
refinitiv,4295862902,15706,83835,18,2004-06-10,2024-12-31
refinitiv,4295862910,10671,67774,22,2003-05-15,2024-12-31
refinitiv,4295862914,133364,19943,3,2020-10-28,2023-07-26
refinitiv,4295862957,108391,13569,5,2012-09-24,2019-02-11
refinitiv,4295862966,174280,12569,5,2019-08-13,2024-12-31
refinitiv,4295862991,105861,90796,18,2006-06-30,2024-12-31
refinitiv,4295863024,141641,90757,2,2006-06-30,2010-05-12
refinitiv,4295863039,11787,14989,3,2014-10-16,2017-06-30
refinitiv,4295863068,174314,15424,4,2015-06-23,2019-12-23
refinitiv,4295863147,178997,12994,14,2011-09-08,2024-12-31
refinitiv,4295863184,179060,13978,12,2013-06-06,2024-12-31
refinitiv,4295863215,64775,91928,18,2007-04-20,2024-12-31
refinitiv,4295863233,108326,92893,16,2009-11-05,2024-12-31
refinitiv,4295863244,107098,12982,14,2011-09-20,2024-12-31
refinitiv,4295864333,176260,91673,9,2011-05-26,2024-12-31
refinitiv,4295864459,137435,88362,10,2012-04-12,2024-12-31
refinitiv,4295864555,178750,92301,6,2016-12-07,2024-06-19
refinitiv,4295864818,164532,90857,17,2005-08-05,2024-12-31
refinitiv,4295864851,165680,91061,6,2005-12-14,2013-11-08
refinitiv,4295865106,175612,91455,6,2006-09-26,2016-03-03
refinitiv,4295865168,175442,91457,16,2007-11-28,2024-12-31
refinitiv,4295865431,157413,89927,15,2006-06-30,2024-12-31
refinitiv,4295865599,160855,90361,5,2006-06-30,2022-05-06
refinitiv,4295865651,149683,90313,6,2012-05-02,2024-12-31
refinitiv,4295873511,175264,91390,6,2017-12-26,2024-03-27
refinitiv,4295873615,125239,87344,5,2007-10-26,2024-10-03
refinitiv,4295874860,25850,78002,5,2005-06-30,2024-12-31
refinitiv,4295875019,25367,76948,6,2004-06-10,2024-12-31
refinitiv,4295875772,28262,79213,6,2019-02-21,2024-12-31
refinitiv,4295880664,162892,91672,8,2007-02-07,2024-12-31
refinitiv,4295884732,64549,84651,6,2006-06-30,2018-05-10
refinitiv,4295887220,166639,91350,8,2006-08-18,2016-05-18
refinitiv,4295887812,30170,80329,11,2006-06-30,2024-12-31
