symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
0JS2.L,6502,15,1,365,16678,2009-12-08,2024-12-31
4OQ1.F,179889,12,1,365,92680,2019-09-12,2024-12-31
A,126554,383,26,366,87432,1999-11-18,2024-12-31
AA,27638,133,9,366,16347,2016-11-01,2024-12-31
AACG,179300,166,14,366,92520,2008-04-25,2024-06-19
AACI,39408,58,4,365,22271,2021-11-10,2024-08-15
AACIU,39408,58,4,365,22271,2021-11-10,2024-08-15
AACIW,39408,58,4,365,22271,2021-11-10,2024-08-15
AADI,39527,59,4,365,17869,2021-08-27,2024-12-31
AAIC,66085,202,15,366,85653,2009-06-10,2023-12-13
AAIC-PB,66085,202,15,366,85653,2009-06-10,2023-12-13
AAIN,66085,202,15,366,85653,2009-06-10,2023-12-13
AAL,1045,179,12,366,21020,2013-12-09,2024-12-31
AAME,16671,419,28,366,15580,1990-11-01,2024-12-31
AAN,37445,73,5,365,20064,2020-12-01,2024-10-03
AAOI,18564,179,12,366,14145,2013-09-26,2024-12-31
AAON,21542,428,27,366,76868,1993-10-18,2024-12-31
AAP,145977,354,24,366,89217,2001-11-29,2024-12-31
AAPL,1690,509,32,366,14593,1982-11-01,2024-12-31
AAT,185549,166,14,366,12513,2011-01-13,2024-12-31
AATC,31775,28,2,362,81624,2021-07-21,2022-12-29
AATP,34144,14,1,82,24469,2023-10-11,2024-08-29
AAU,22570,75,7,366,91038,2005-12-20,2024-04-04
AAWW,61155,277,19,366,91262,2001-02-20,2023-03-17
AB,14592,243,19,366,75278,2006-02-27,2024-12-31
ABB,210418,177,15,366,88953,2004-06-10,2019-09-16
ABBV,16101,179,12,366,13721,2013-01-02,2024-12-31
ABC,31673,338,23,366,81540,2001-08-30,2023-08-29
ABCB,30222,316,20,366,80498,2005-12-09,2024-07-22
ABCL,37527,59,5,365,20276,2020-12-11,2024-12-31
ABEO,12713,147,10,366,87656,2015-06-22,2024-12-31
ABEV,201140,154,12,366,85254,2013-11-11,2024-12-31
ABG,144640,340,23,366,89327,2002-03-14,2024-12-31
ABIO,182309,235,16,366,85293,2009-01-28,2024-09-02
ABL,36775,15,1,365,19826,2023-07-05,2024-12-31
ABM,1410,492,31,366,47730,1994-03-17,2024-12-31
ABMC,21136,190,13,366,85671,1997-12-24,2009-09-02
ABMD,13619,444,28,366,75107,1992-08-31,2022-12-21
ABML,26366,14,1,102,24250,2023-09-21,2024-06-19
ABNB,37460,73,5,365,20190,2020-12-10,2024-12-31
ABOS,38986,59,4,365,21695,2021-07-01,2024-12-31
ABR,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PD,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PE,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PF,160173,249,21,366,90102,2004-06-10,2024-12-31
ABSI,39175,59,4,365,21604,2021-07-22,2024-12-31
ABST,133364,23,2,365,19943,2020-10-28,2023-07-26
