issuer_id,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
IID000000002123682,177108,181,13,366,91915,2008-06-18,2024-12-31
IID000000002123683,62686,83,6,366,83366,2006-06-30,2017-12-25
IID000000002123684,175900,180,13,366,91683,2008-06-18,2024-12-31
IID000000002123685,2574,251,18,366,62148,2004-06-10,2024-12-31
IID000000002123686,20548,223,15,366,76082,2004-06-10,2024-12-31
IID000000002123687,142260,152,11,366,88897,2004-06-10,2024-12-31
IID000000002123688,10884,47,4,366,89329,2006-08-04,2015-01-06
IID000000002123689,2577,191,13,366,28564,2004-07-12,2024-12-31
IID000000002123690,6946,196,18,366,78045,2004-06-10,2024-12-31
IID000000002123691,20185,190,13,366,77300,2012-06-29,2024-12-31
IID000000002123692,5234,269,18,366,16432,2004-06-10,2024-12-31
IID000000002123693,30219,41,3,366,80592,2009-02-02,2015-10-14
IID000000002123694,62922,14,1,12,83452,2004-06-10,2012-01-13
IID000000002123695,9777,207,15,366,42585,2004-06-10,2024-12-31
IID000000002123698,176760,179,13,366,91854,2008-06-18,2021-11-29
IID000000002123699,116004,13,1,204,79788,2007-04-25,2007-11-15
IID000000002123700,9850,251,18,366,18411,2006-06-30,2024-12-31
IID000000002123701,9904,266,18,366,63765,2004-06-10,2024-09-30
IID000000002123702,25108,14,1,365,77478,2004-06-10,2019-04-17
IID000000002123703,7163,264,18,366,17478,2004-06-10,2024-12-31
IID000000002123704,29733,250,18,366,80204,2006-08-02,2024-12-31
IID000000002123707,31846,251,18,366,81655,2004-06-10,2024-12-31
IID000000002123708,25950,142,12,366,78089,2008-04-25,2020-12-28
IID000000002123709,26749,111,8,366,91575,2016-07-01,2024-12-31
IID000000002123710,2137,196,18,366,29647,2006-07-11,2024-12-31
IID000000002123713,61552,111,8,366,82643,2004-06-10,2016-11-28
IID000000002123714,10115,270,18,366,73139,2006-06-30,2024-12-31
IID000000002123715,14282,252,18,366,84769,2004-06-10,2024-12-31
IID000000002123716,7620,250,18,366,28345,2004-06-10,2024-12-31
IID000000002123717,137232,110,8,366,88313,2004-06-10,2017-05-26
IID000000002123718,63172,193,13,366,83597,2006-06-30,2024-12-31
IID000000002123719,1449,270,18,366,57904,2004-06-10,2024-12-31
IID000000002123720,2697,76,7,366,30277,2004-06-10,2013-02-25
IID000000002123721,28590,179,13,366,18649,2011-06-10,2024-12-31
IID000000002123722,13092,180,13,366,77453,2012-05-02,2024-12-31
IID000000002123723,11191,179,13,366,57808,2012-05-03,2024-12-31
IID000000002123724,161013,54,5,366,90301,2008-04-25,2016-01-27
IID000000002123725,11537,195,13,366,51086,2004-06-10,2024-12-31
IID000000002123726,145367,13,1,355,89204,2006-06-30,2012-12-21
IID000000002123728,112158,178,15,366,86115,2004-06-10,2024-12-31
IID000000002123729,6821,253,17,366,56223,2004-06-10,2024-12-31
IID000000002123730,4029,248,18,366,64936,2006-08-04,2024-12-31
IID000000002123742,15708,125,9,366,75646,2004-06-10,2015-03-16
IID000000002123744,210418,141,13,366,88953,2008-04-25,2023-05-22
IID000000002123745,14084,195,13,366,11731,2004-06-10,2024-12-31
IID000000002123765,65399,179,13,366,85349,2006-07-31,2022-08-02
IID000000002123771,2411,119,10,366,66835,2006-06-30,2019-08-29
IID000000002123772,66654,107,9,366,85897,2008-04-25,2021-03-19
IID000000002123789,15106,59,5,366,75383,2006-07-18,2011-06-29
IID000000002123798,65904,89,6,366,85522,2008-01-10,2017-01-26
IID000000002123799,1161,269,18,366,61241,2004-06-10,2024-12-31
IID000000002123800,62263,163,11,366,83111,2011-02-10,2021-07-20
IID000000002123834,2615,111,8,366,20670,2006-06-30,2021-03-28
IID000000002123840,264397,67,5,365,92457,2012-05-01,2016-06-30
IID000000002123841,162489,27,2,365,90948,2013-05-21,2018-12-31
IID000000002123844,138483,182,13,366,88504,2008-02-27,2024-12-31
IID000000002123846,147204,41,3,366,89297,2008-05-12,2020-02-05
IID000000002123852,62221,195,13,366,83120,2004-06-10,2024-12-31
IID000000002123853,13381,27,2,365,11379,2012-12-05,2020-12-21
IID000000002123890,3158,195,13,366,30648,2004-06-10,2024-12-31
IID000000002123891,23945,41,3,365,76625,2004-06-10,2011-10-13
IID000000002123893,64327,179,12,366,84413,2004-06-10,2024-12-31
IID000000002123894,62516,222,15,366,83244,2004-06-10,2024-12-31
IID000000002123904,29028,250,18,366,87055,2004-06-10,2024-12-31
IID000000002123905,163878,97,7,366,91605,2009-04-23,2018-07-31
IID000000002123906,175966,98,7,366,91606,2015-05-29,2024-12-31
IID000000002123907,3071,27,2,366,86685,2011-08-02,2013-04-12
IID000000002123908,165943,14,1,365,91088,2006-04-27,2016-02-16
IID000000002123917,62266,193,13,366,83124,2012-05-02,2024-12-31
IID000000002123918,181617,14,1,365,90183,2008-12-01,2014-02-03
IID000000002123927,223911,75,7,366,89335,2004-06-10,2018-04-12
IID000000002123955,23671,151,14,366,87128,2004-06-10,2024-07-31
IID000000002123984,111662,68,5,365,86150,2012-05-02,2016-12-08
IID000000002123986,6781,247,18,366,26710,2007-05-30,2024-12-31
IID000000002123989,13189,106,9,366,10952,2011-11-10,2020-11-26
IID000000002124016,64821,172,16,366,84767,2008-05-09,2024-12-31
IID000000002124030,147661,56,4,366,89399,2006-06-30,2016-04-21
IID000000002124155,2044,153,11,366,46877,2006-07-20,2017-12-28
IID000000002124159,146017,180,13,366,89216,2006-07-06,2024-12-31
IID000000002124167,2049,192,13,366,39693,2006-07-20,2024-12-31
IID000000002124168,7647,247,18,366,59408,2004-06-10,2024-12-31
IID000000002124189,177405,51,4,366,91976,2007-05-18,2015-03-09
IID000000002124210,3062,247,18,366,23660,2004-06-10,2024-12-31
IID000000002124211,19262,194,13,366,11844,2006-06-30,2024-12-31
IID000000002124224,65702,118,8,365,85464,2004-06-10,2024-12-31
IID000000002124228,3394,119,8,366,26463,2004-06-10,2019-10-09
IID000000002124229,146648,98,7,366,90081,2004-06-10,2024-12-31
IID000000002124231,64061,195,13,366,84210,2006-12-15,2024-12-31
IID000000002124232,23753,194,13,366,76582,2006-06-30,2024-12-31
IID000000002124233,63645,40,3,365,88436,2012-05-24,2014-03-02
IID000000002124244,121815,193,13,366,87077,2008-10-24,2024-12-31
IID000000002124245,118223,164,11,366,86717,2006-06-30,2022-05-12
IID000000002124248,6213,29,2,366,46181,2008-12-22,2013-03-27
IID000000002124253,176703,28,2,365,91959,2008-05-27,2024-07-31
IID000000002124259,26071,182,13,366,88944,2004-06-10,2024-12-31
IID000000002124261,4273,74,5,366,32046,2004-06-10,2016-08-10
IID000000002124263,121077,207,14,366,86964,2004-06-10,2024-12-31
IID000000002124269,25357,104,7,366,77669,2011-10-03,2018-06-15
IID000000002124273,163627,69,5,366,90807,2005-07-21,2016-02-26
IID000000002124277,109683,69,5,366,85994,2004-06-10,2016-07-29
IID000000002124287,24468,249,18,366,76841,2004-06-10,2024-12-31
IID000000002124327,65413,15,1,365,85333,2004-06-10,2015-10-05
IID000000002124332,29127,191,13,366,79906,2010-12-23,2024-12-31
IID000000002124335,26037,45,3,366,78156,2005-08-19,2019-09-16
IID000000002124347,26069,137,10,366,91128,2006-02-28,2024-12-31
IID000000002124354,160719,55,4,366,90536,2010-10-05,2015-04-09
IID000000002124356,31521,179,13,366,81254,2011-03-01,2024-12-31
IID000000002124359,122536,96,7,366,87167,2011-06-21,2018-02-07
IID000000002124362,130200,55,4,366,87771,2004-06-10,2015-02-02
IID000000002124366,64165,55,4,366,84320,2006-06-30,2015-07-01
IID000000002124367,160797,28,2,366,90901,2006-06-30,2015-02-16
IID000000002124394,14309,194,13,366,11884,2006-06-30,2024-10-16
IID000000002124406,25279,270,18,366,77605,2004-06-10,2024-12-31
IID000000002124409,15582,193,18,366,89428,2004-06-10,2024-12-31
IID000000002124412,2802,29,2,366,21726,2009-06-12,2013-03-28
IID000000002124413,3362,247,18,366,56274,2004-06-10,2024-12-31
IID000000002124436,132518,14,1,365,87752,2010-07-23,2014-01-15
IID000000002124494,6116,119,8,366,84226,2004-06-10,2019-10-17
IID000000002124495,136725,223,16,366,88352,2004-06-10,2024-12-31
IID000000002124534,162404,167,12,366,90734,2005-06-09,2023-02-21
IID000000002124548,11811,195,13,366,88664,2004-06-10,2024-12-31
IID000000002124549,30138,44,3,366,80544,2004-06-10,2014-06-18
IID000000002124550,61179,194,13,366,82212,2006-06-30,2024-12-31
IID000000002124551,6509,193,13,366,48144,2012-05-02,2024-12-31
IID000000002124552,64848,28,2,358,85019,2012-06-20,2018-11-14
IID000000002124561,114484,41,3,366,90733,2007-12-26,2014-03-13
IID000000002124579,177982,41,3,366,92243,2011-06-10,2014-01-28
IID000000002124615,118081,68,5,366,86709,2008-04-25,2017-08-31
IID000000002124617,31743,45,3,366,81539,2006-07-24,2016-03-15
IID000000002124621,179077,167,13,366,16965,2008-11-24,2024-12-31
IID000000002124626,25749,190,13,366,77917,2004-06-10,2024-12-31
IID000000002124628,160272,55,4,366,90275,2004-07-23,2015-01-29
IID000000002124636,28408,180,13,366,79248,2012-09-07,2024-12-31
IID000000002124641,13786,126,9,366,11636,2014-01-23,2024-12-31
IID000000002124651,2002,222,16,366,16505,2004-06-10,2024-12-31
IID000000002124660,145041,84,6,366,89413,2006-06-30,2024-08-05
IID000000002124683,1239,41,3,365,42083,2006-11-17,2011-05-10
IID000000002124686,2536,97,7,366,20117,2005-10-20,2018-09-20
IID000000002124690,3246,224,15,366,30680,2006-05-25,2024-12-31
IID000000002124726,4060,153,11,366,20626,2004-06-10,2017-08-31
IID000000002124736,108768,130,12,366,12447,2010-12-15,2024-12-31
IID000000002124737,61562,195,13,366,82547,2005-07-14,2024-12-31
IID000000002124746,30059,266,18,366,80432,2007-03-08,2024-12-31
IID000000002124818,13789,89,6,366,11641,2004-06-10,2017-04-20
IID000000002124846,64336,63,6,365,84576,2017-12-26,2023-02-02
IID000000002124866,282608,97,9,366,15269,2015-03-25,2024-12-31
IID000000002124873,5237,174,12,366,53604,2004-06-10,2024-12-31
IID000000002124880,14390,94,9,365,16341,2016-10-14,2024-12-31
IID000000002124971,26021,138,10,366,78137,2004-06-10,2021-03-30
IID000000002124972,253523,11,1,365,13376,2020-11-19,2024-12-31
IID000000002125016,30747,142,12,366,81038,2010-01-19,2022-07-07
IID000000002125053,12818,12,1,197,22323,2024-06-17,2024-12-31
IID000000002125107,206211,108,9,366,85467,2006-06-30,2024-12-31
IID000000002125129,2859,68,5,365,64557,2012-05-03,2016-04-13
IID000000002125130,12603,181,13,366,89841,2010-05-12,2024-12-31
IID000000002125131,5742,266,18,366,21792,2006-08-03,2024-12-31
IID000000002125153,177264,21,2,365,92156,2009-06-05,2011-03-20
IID000000002125155,144066,167,12,366,89014,2004-06-10,2018-11-26
IID000000002125164,65732,111,8,366,85419,2006-06-30,2020-12-13
IID000000002125178,63605,150,11,365,92530,2008-02-07,2018-03-08
IID000000002125184,65156,27,2,365,85255,2006-06-30,2008-09-18
IID000000002125185,3580,179,13,366,20204,2004-06-10,2022-05-16
IID000000002125186,3581,112,8,366,27618,2006-06-30,2024-12-31
IID000000002125187,3562,142,13,366,27511,2008-04-25,2024-12-31
IID000000002125188,2628,195,13,366,20750,2004-06-10,2024-12-31
IID000000002125205,65084,184,16,366,85234,2004-08-18,2024-12-31
IID000000002125231,12124,243,18,366,69032,2006-01-17,2024-09-11
IID000000002125235,15362,128,12,366,75466,2011-06-13,2022-01-28
IID000000002125250,4036,194,13,366,61313,2012-05-02,2024-12-31
IID000000002125251,64135,104,7,366,84365,2006-06-30,2018-02-20
IID000000002125255,3735,250,18,366,49680,2004-06-10,2024-12-31
IID000000002125281,163948,41,3,365,90831,2005-08-25,2015-06-30
IID000000002125284,18636,153,14,366,76592,2004-06-10,2024-12-31
IID000000002125286,26658,125,9,366,15859,2015-12-17,2024-12-20
IID000000002125288,4193,142,13,366,85082,2008-04-25,2024-12-31
IID000000002125313,12796,137,10,366,35124,2011-06-10,2021-06-03
IID000000002125314,64699,150,11,365,84734,2010-05-28,2022-11-30
IID000000002125315,14590,248,18,366,81774,2007-03-28,2024-12-31
IID000000002125316,8099,268,18,366,23026,2004-06-10,2024-12-31
IID000000002125322,4844,41,3,366,37234,2004-06-10,2014-12-16
IID000000002125325,146500,55,4,365,89252,2011-02-04,2017-03-07
IID000000002125467,18732,195,13,366,85299,2004-06-10,2024-12-31
IID000000002125527,122266,42,4,365,92423,2012-02-29,2016-01-14
IID000000002125650,15444,142,13,366,75650,2009-01-21,2023-09-22
IID000000002125709,5987,193,13,366,46463,2004-06-10,2024-12-31
IID000000002125732,24710,27,2,365,77208,2009-01-09,2020-12-01
IID000000002125739,178870,75,6,365,12906,2011-07-27,2020-01-14
IID000000002125783,274165,55,4,366,92983,2009-07-30,2015-12-23
IID000000002125829,9538,182,13,366,36281,2006-06-30,2024-12-31
IID000000002125908,25389,182,13,366,89810,2008-03-11,2024-12-31
IID000000002125941,5229,89,6,366,12140,2005-08-10,2012-07-26
IID000000002126010,176592,110,8,366,91692,2008-06-18,2019-07-01
IID000000002126124,27980,68,5,366,78977,2011-06-16,2016-04-15
IID000000002126204,162401,234,17,366,90558,2005-02-11,2024-12-31
IID000000002126222,6216,238,16,366,52329,2004-06-10,2022-08-28
IID000000002126223,17131,69,5,366,43837,2011-06-13,2022-02-15
IID000000002126344,4600,34,3,365,92640,2008-07-30,2017-01-23
IID000000002126381,30205,13,1,53,80524,2010-02-10,2017-02-23
IID000000002126472,25283,267,18,366,77606,2004-06-10,2024-12-31
IID000000002126515,166385,129,12,366,91112,2010-06-14,2024-12-31
IID000000002126539,17239,96,7,366,89207,2006-06-30,2018-06-29
IID000000002126563,1382,59,5,366,90893,2005-09-29,2013-12-06
IID000000002126567,124042,195,18,366,87212,2004-06-10,2024-12-31
IID000000002126576,247881,22,2,366,13926,2013-05-02,2021-05-04
IID000000002126584,150803,70,5,366,18191,2019-07-02,2024-12-31
IID000000002126593,28535,43,4,365,79442,2006-12-04,2019-07-02
IID000000002126715,178976,180,13,366,92493,2008-12-31,2024-12-31
IID000000002126729,11903,75,5,366,10025,2009-01-30,2017-01-20
IID000000002126814,163768,81,6,366,13993,2014-11-28,2021-07-01
IID000000002126834,19129,14,1,365,47723,2019-08-02,2024-12-31
IID000000002126841,6768,123,9,366,49905,2006-06-30,2017-07-11
IID000000002126851,109926,76,7,366,85947,2008-04-25,2018-11-30
IID000000002126990,1266,75,5,366,11790,2006-06-30,2019-08-05
IID000000002127002,29052,130,11,366,79770,2014-01-08,2024-12-31
IID000000002127003,6543,192,13,366,48347,2006-06-30,2024-12-31
IID000000002127021,60902,194,13,366,81666,2008-06-02,2024-09-17
IID000000002127098,29649,143,13,366,80183,2008-04-25,2024-12-31
IID000000002127100,14313,10,1,317,15929,2016-02-19,2017-01-23
IID000000002127109,175490,14,1,365,91615,2008-06-23,2015-05-26
IID000000002127125,174390,126,9,366,91503,2006-10-19,2024-12-31
