orgpermid,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
4295533401,180905,41,3,365,92913,2011-06-14,2019-08-04
4295641240,20692,111,8,366,14942,2014-11-03,2024-12-31
4295856130,165927,65,6,366,91125,2006-02-07,2024-12-31
4295856134,178081,122,9,366,92221,2009-11-12,2024-12-31
4295857066,253527,110,8,365,90542,2008-06-26,2024-12-31
4295857433,100712,32,3,365,23169,2022-06-02,2024-12-31
4295859725,30806,96,9,366,93001,2009-08-18,2019-01-03
4295860381,16582,153,14,366,75844,2002-01-02,2018-01-01
4295860402,27265,118,11,366,91037,2005-12-13,2018-09-21
4295860405,24370,247,21,366,83188,2004-06-10,2024-07-31
4295860444,165637,59,6,366,92747,2008-07-25,2024-12-31
4295860527,13453,109,8,366,78451,2017-06-09,2024-12-31
4295860540,122266,85,8,366,92423,2007-11-30,2016-01-14
4295860591,2137,226,21,366,29647,2004-06-10,2024-12-31
4295860592,15582,236,22,366,89428,2002-06-07,2024-12-31
4295860595,2696,263,22,366,84181,2002-01-02,2024-12-31
4295860596,15580,237,22,366,81284,2002-01-02,2024-12-31
4295860600,15581,236,22,366,85636,2002-01-02,2024-12-31
4295860623,6135,237,22,366,76932,2002-01-02,2024-12-31
4295860642,13971,226,21,366,77735,2004-06-10,2024-12-31
4295860717,140363,70,7,366,90606,2005-03-29,2017-05-25
4295860746,20488,150,14,366,79636,2004-06-10,2022-01-27
4295860761,15150,65,6,366,82232,2002-01-02,2009-07-31
4295860785,22049,10,1,74,86061,2004-06-10,2007-03-16
4295860797,141099,20,2,295,24068,2023-07-06,2024-12-31
4295860840,145812,117,11,366,14379,2014-01-22,2024-12-31
4295860866,29985,197,18,366,90850,2005-08-11,2024-12-31
4295860976,61356,97,9,365,82261,2016-05-12,2024-12-31
4295861005,28852,63,6,366,92178,2007-07-24,2013-06-06
4295861041,29478,21,2,365,23889,2023-05-25,2024-12-31
4295861063,143770,29,3,366,14660,2019-07-02,2023-04-10
4295861073,2369,223,21,366,85259,2004-06-10,2024-12-31
4295861086,107245,162,15,366,91689,2007-01-30,2024-12-31
4295861092,13401,35,3,365,75058,2004-06-10,2007-12-31
4295861109,1243,43,4,365,24264,2002-01-02,2007-11-14
4295861120,7980,51,5,365,58640,2002-01-02,2009-01-13
4295861140,20670,249,21,366,81734,2004-06-10,2024-12-31
4295861142,26539,222,21,366,89648,2004-06-10,2024-12-31
4295861147,5903,239,22,366,33099,2002-01-02,2024-12-31
4295861151,63139,190,18,366,89911,2004-06-10,2022-12-15
4295861160,15704,224,21,366,89444,2004-06-10,2024-12-31
4295861205,162346,108,10,366,10201,2010-07-23,2021-03-28
4295861228,29135,170,16,366,91135,2006-07-18,2024-12-31
4295861241,133289,214,20,366,87666,2005-01-05,2024-12-31
4295861256,106519,70,7,366,89013,2004-06-10,2011-01-02
4295861257,10385,204,19,366,91321,2006-06-30,2024-12-31
4295861259,21864,223,21,366,86372,2004-06-10,2024-12-31
4295861309,6946,228,21,366,78045,2004-06-10,2024-12-31
4295861310,15070,258,22,366,80070,2002-01-02,2024-12-31
4295861343,2698,194,22,366,89125,2002-01-02,2024-12-31
4295861362,14316,131,11,366,85635,2002-01-02,2015-05-07
4295861372,2697,87,8,366,30277,2004-06-10,2013-02-25
4295861444,7984,30,3,366,49955,2004-06-10,2011-10-25
4295861456,8009,54,5,366,86303,2004-06-10,2009-07-06
