gvkey,primary_permno
001000,25881
001001,10015
001002,10023
001003,10031
001004,54594
001005,61903
001007,10058
001008,10066
001009,10074
001010,10006
001011,10082
001012,10103
001013,50906
001015,66405
001016,10146
001017,10154
001018,10162
001019,10189
001020,68806
001021,10218
001022,10234
001023,66755
001024,10269
001025,47351
001026,10277
001027,28601
001028,10285
001029,10293
001030,10306
001031,10014
001034,65832
001036,65453
001037,10314
001038,66413
001039,50526
001040,15763
001042,10365
001043,18980
001044,37591
001045,21020
001046,10373
001047,10381
001049,10400
001050,11499
001051,41961
001052,10402
001054,10429
001055,85041
001056,62500
001057,10030
001058,28636
001059,58958
001061,10445
001062,26649
001065,71239
001066,55335
001067,28652
001069,10480
001070,21549
001072,81912
001073,10496
001074,49648
001075,27991
001076,10517
001077,10525
001078,20482
001079,10541
001080,28660
001081,10560
001082,10568
001083,44231
001086,76876
001087,10584
001088,10592
001089,10613
001091,64688
001092,10621
001093,10640
001094,10656
001095,10123
001097,10664
001098,10057
001099,63837
001100,10672
001101,28679
001103,28695
001104,60038
001106,10699
001108,51510
001109,85084
001111,79678
001112,10720
001113,43967
001114,10728
001115,10752
001117,10779
001118,57306
001119,10065
001120,17224
001121,61487
001122,47650
001123,85105
001124,10787
001125,10795
001126,10808
001128,85113
001129,10816
001130,10824
001131,10832
001133,22488
001134,10859
001135,57461
001137,10867
001138,10875
001139,10891
001140,10904
001141,10912
001142,46624
001143,78523
001145,65840
001146,10971
001147,10990
001148,64514
001150,28716
001151,10998
001153,28724
001154,85164
001155,11010
001156,46973
001157,28732
001159,28740
001161,61241
001162,11026
001163,11034
001164,11042
001165,11069
001166,11077
001167,11085
001169,11114
001171,11149
001172,15916
001173,11157
001174,11165
001175,44396
001177,46850
001178,11173
001179,52310
001180,50569
001181,57349
001182,57613
001183,11181
001184,11200
001186,78223
001188,11229
001192,17232
001194,56266
001195,11253
001196,44820
001197,39116
001199,11280
001200,11288
001201,11296
001202,11309
001203,61081
001204,11317
001206,11325
001208,11341
001209,28222
001210,11368
001211,43756
001212,11376
001213,51721
001214,67125
001215,10102
001217,46244
001218,44775
001219,47378
001220,41793
001221,25662
001222,63415
001226,64848
001227,67133
001228,11456
001229,11472
001230,28804
001232,11520
001233,11536
001234,11587
001235,49584
001236,57998
001238,82233
001239,42083
001240,50032
001241,11608
001242,11616
001243,24264
001244,11624
001245,85244
001246,48514
001247,56282
001248,53321
001249,11659
001250,85252
001251,48733
001252,11683
001253,63845
001254,11691
001255,11704
001257,49330
001258,11712
001259,11739
001260,69171
001261,11755
001263,81765
001264,11763
001266,11790
001268,11798
001269,85279
001270,28820
001271,11827
001274,71271
001275,11835
001277,11843
001278,18817
001279,10137
001281,44740
001283,11851
001284,59635
001285,28855
001286,85295
001288,58747
001289,28863
001290,11870
001291,28871
001292,11886
001293,11894
001294,46818
001295,19860
001296,11915
001297,26331
001299,11931
001300,10145
001301,17304
001302,22074
001303,74473
001304,63423
001305,53655
001306,11950
001308,10153
001309,44724
001311,85033
001312,11966
001313,28898
001314,42737
001315,11974
001318,41443
001319,11982
001320,84284
001322,49103
001323,42497
001324,12002
001325,61268
001326,12037
001327,45911
001328,12045
001329,12053
001330,12061
001331,68814
001332,12096
001333,78233
001334,12117
001338,12125
001341,12141
001342,12160
001343,40096
001344,44580
001345,42032
001346,12168
001347,63853
001348,12176
001349,12184
001350,12192
001351,12205
001356,24643
001358,47474
001359,64856
001360,12213
001362,24555
001363,12221
001364,12240
001365,10161
001366,10188
001367,12264
001368,12272
001369,66229
001370,12299
001372,12320
001373,28935
001374,12328
001375,17670
001376,42921
001377,63087
001378,12387
001379,26227
001380,28484
001381,12408
001382,12424
001383,12432
001384,12459
001385,12467
001386,51190
001387,42235
001390,12475
001391,38877
001392,60046
001393,81073
001394,15843
001395,10217
001397,39482
001402,12571
001408,10225
001409,10233
001410,47730
001411,56119
001412,75000
001414,10241
001415,54332
001416,54332
001417,51916
001418,77200
001419,49947
001420,18825
001421,12678
001422,12694
001423,12707
001425,10268
001426,12715
001427,57621
001428,28994
001429,10276
001430,23341
001431,12723
001432,12731
001433,12750
001434,49269
001437,85367
001439,12758
001440,24109
001441,12766
001442,12774
001444,12627
001445,12803
001446,12811
001447,59176
001449,57904
001451,12838
001452,12854
001453,12897
001454,12910
001456,12918
001457,12934
001458,12969
001459,51473
001461,13005
001462,66771
001463,13040
001464,56661
001465,48397
001466,41849
001467,13048
001468,13056
001470,13064
001472,66421
001473,13099
001474,59643
001475,41734
001476,13101
001477,13120
001478,15667
001479,13128
001481,27190
001484,13179
001485,65859
001487,66800
001488,53313
001489,21194
001491,29014
001492,13224
001494,13232
001495,13283
001496,10488
001497,13291
001498,50112
001500,13304
001501,29022
001503,13339
001504,13347
001505,13355
001506,60409
001508,13363
001509,13371
001510,53161
001511,13390
001512,13398
001513,10090
001514,13435
001516,48581
001517,10321
001518,85404
001519,13443
001522,13451
001523,13470
001524,13478
001525,13486
001526,13507
001527,13515
001528,24141
001529,85412
001530,13523
001531,13531
001532,64143
001533,85439
001534,13550
001535,13558
001537,29049
001538,13582
001539,13603
001540,54236
001542,46527
001543,65111
001544,13638
001545,49322
001546,13646
001547,53014
001549,13689
001550,13697
001551,13718
001552,40045
001553,60863
001554,58560
001555,16141
001556,13734
001559,13769
001560,15974
001562,13777
001563,13785
001564,13793
001567,10372
001568,63431
001569,13822
001571,42905
001572,17558
001573,44652
001574,13849
001575,13857
001577,69200
001578,46498
001579,13865
001581,10401
001582,13873
001583,13881
001584,13902
001585,11144
001586,13945
001587,23544
001588,13953
001589,13961
001590,64696
001593,50091
001594,44548
001595,13980
001596,25873
001597,13988
001598,10460
001599,45217
001600,75303
001602,14008
001603,14016
001604,14024
001606,14059
001608,27051
001609,19553
001610,14104
001611,64864
001612,45540
001613,18075
001614,26673
001615,14112
001616,14139
001617,63431
001618,38746
001619,62770
001620,10479
001623,10487
001624,14155
001625,47570
001626,14163
001627,64151
001628,10495
001630,14190
001631,73438
001632,60871
001633,14198
001634,14219
001635,14227
001638,17240
001639,18702
001640,54375
001641,14286
001642,87119
001643,22277
001644,41056
001645,63861
001646,14307
001647,61276
001649,14315
001650,29073
001651,14323
001652,14331
001653,39888
001654,65867
001655,45583
001656,76878
001657,14374
001658,21398
001659,83112
001661,29102
001662,14430
001663,59184
001664,85535
001665,57920
001666,58149
001667,14438
001669,77828
001671,29137
001672,63458
001673,14446
001674,56881
001675,64397
001677,29145
001678,39490
001679,14462
001680,66448
001681,87194
001682,78231
001683,28230
001684,14510
001686,14526
001687,29153
001688,14569
001690,14593
001691,14606
001692,14614
001693,14622
001694,14649
001695,14657
001696,14665
